station_origin,station_destination,flows,population,jobs,distance
Abbey Road,Bank and Monument,0,599,78549,8131.525097
Abbey Road,Beckton,1,599,442,8510.121774
Abbey Road,Blackwall,3,599,665,3775.448872
Abbey Road,Canary Wharf,1,599,58772,5086.51422
Abbey Road,Canning Town,37,599,15428,2228.923167
Abbey Road,Crossharbour,1,599,1208,6686.47556
Abbey Road,Custom House,0,599,845,3824.85563
Abbey Road,Cutty Sark,2,599,1748,8503.898909
Abbey Road,Cyprus,7,599,850,6532.099618
Abbey Road,Devons Road,1,599,611,3958.324171
Abbey Road,East India,2,599,1522,3384.141666
Abbey Road,Island Gardens,2,599,691,7706.29637
Abbey Road,King George V,5,599,800,6806.021039
Abbey Road,Langdon Park,8,599,1989,4810.672967
Abbey Road,Lewisham,0,599,2400,11213.45149
Abbey Road,Limehouse,2,599,2969,6154.537881
Abbey Road,London City Airport,4,599,1941,5777.444148
Abbey Road,Pontoon Dock,8,599,1123,4636.094118
Abbey Road,Poplar,0,599,1301,4498.40743
Abbey Road,Prince Regent,1,599,754,4349.342509
Abbey Road,Royal Albert,4,599,684,5237.762991
Abbey Road,Shadwell,1,599,7447,6583.570466
Abbey Road,South Quay,7,599,4591,6089.728056
Abbey Road,Star Lane,7,599,1052,1397.494085
Abbey Road,Stratford,285,599,55954,1174.511375
Abbey Road,Stratford High Street,10,599,788,655.2113013
Abbey Road,Stratford International,33,599,1546,2495.579492
Abbey Road,West Ham,130,599,5487,533.8424217
Abbey Road,West Silvertown,2,599,893,3880.048228
Abbey Road,Westferry,3,599,1250,5180.920874
Abbey Road,Woolwich Arsenal,32,599,4428,9235.296782
Acton Central,Barking,0,1224,7004,28856.33687
Acton Central,Blackhorse Road,0,1224,2955,19050.02049
Acton Central,Brondesbury,76,1224,712,6439.433521
Acton Central,Brondesbury Park,31,1224,895,5697.24485
Acton Central,Bushey,0,1224,456,20277.67372
Acton Central,Caledonian Road & Barnsbury,22,1224,1668,14032.3987
Acton Central,Camden Road,52,1224,3784,12267.82041
Acton Central,Canada Water,0,1224,20443,19290.44203
Acton Central,Canonbury,3,1224,846,15827.10849
Acton Central,Carpenders Park,0,1224,340,18314.69525
Acton Central,Crouch Hill,2,1224,404,13393.53768
Acton Central,Dalston Kingsland,5,1224,2091,17008.28683
Acton Central,Denmark Hill,0,1224,2612,19358.21418
Acton Central,Edmonton Green,0,1224,783,24977.43156
Acton Central,Euston,17,1224,16800,11674.64389
Acton Central,Finchley Road & Frognal,52,1224,1529,7919.322286
Acton Central,Gospel Oak,18,1224,2025,10278.41603
Acton Central,Gunnersbury,102,1224,4775,2169.36665
Acton Central,Hackney Central,10,1224,2440,18298.04308
Acton Central,Hackney Wick,5,1224,1263,20677.00901
Acton Central,Haggerston,2,1224,1184,17998.98543
Acton Central,Hampstead Heath,59,1224,2792,9339.855434
Acton Central,Harlesden,0,1224,1668,4209.698813
Acton Central,Harringay Green Lanes,3,1224,544,14900.11548
Acton Central,Harrow & Wealdstone,3,1224,1335,12874.2889
Acton Central,Hatch End,0,1224,93,15871.35296
Acton Central,Headstone Lane,4,1224,310,14725.20312
Acton Central,Highams Park,0,1224,390,24555.91955
Acton Central,Highbury & Islington,49,1224,25385,14845.99872
Acton Central,Homerton,3,1224,1998,19333.65862
Acton Central,Hoxton,4,1224,2181,18833.56407
Acton Central,Kensal Green,0,1224,472,4417.714509
Acton Central,Kensal Rise,39,1224,1376,4694.709416
Acton Central,Kentish Town West,54,1224,1128,11369.57546
Acton Central,Kenton,2,1224,768,11093.6169
Acton Central,Kew Gardens,18,1224,792,3949.647569
Acton Central,Kilburn High Road,0,1224,266,6866.843319
Acton Central,Leyton Midland Road,0,1224,445,22254.74158
Acton Central,Leytonstone High Road,0,1224,314,23468.83859
Acton Central,New Cross,1,1224,1027,22156.95578
Acton Central,New Cross Gate,0,1224,1340,21921.72685
Acton Central,North Wembley,0,1224,365,8770.902499
Acton Central,Queen's Park,0,1224,2167,5802.34017
Acton Central,Richmond,318,1224,5397,6117.810833
Acton Central,Shadwell,0,1224,7447,18658.14124
Acton Central,Shoreditch High Street,4,1224,7558,19123.31924
Acton Central,South Acton,7,1224,975,1152.52727
Acton Central,South Hampstead,3,1224,236,7843.198707
Acton Central,South Kenton,0,1224,261,9706.647669
Acton Central,South Tottenham,0,1224,552,16758.88057
Acton Central,Stonebridge Park,0,1224,729,5704.64759
Acton Central,Stratford,11,1224,55954,22249.93228
Acton Central,Surrey Quays,0,1224,1005,19839.95826
Acton Central,Upper Holloway,4,1224,898,12178.64134
Acton Central,Watford High Street,3,1224,790,21591.92398
Acton Central,Watford Junction,5,1224,1367,22997.96152
Acton Central,Wembley Central,1,1224,1327,7422.746057
Acton Central,West Hampstead,141,1224,5856,7288.664757
Acton Central,White Hart Lane,0,1224,641,22579.05553
Acton Central,Whitechapel,1,1224,17633,17927.4978
Acton Central,Willesden Junction,90,1224,4165,3065.465621
Acton Central,Woodgrange Park,0,1224,242,26708.91669
Acton Town,Aldgate,3,3745,7782,16944.05182
Acton Town,Aldgate East,17,3745,7932,17186.099
Acton Town,Alperton,35,3745,741,4973.087944
Acton Town,Amersham,0,3745,256,37455.59219
Acton Town,Angel,11,3745,8103,15763.97266
Acton Town,Archway,1,3745,2193,18217.62569
Acton Town,Arnos Grove,1,3745,748,25901.39259
Acton Town,Arsenal,0,3745,315,17900.36088
Acton Town,Baker Street,19,3745,14973,12097.39559
Acton Town,Balham,0,3745,3814,18527.83949
Acton Town,Bank and Monument,66,3745,78549,15507.13458
Acton Town,Barbican,9,3745,9134,16902.56232
Acton Town,Barking,1,3745,7004,29078.27214
Acton Town,Barkingside,0,3745,262,34636.17643
Acton Town,Barons Court,84,3745,2956,5270.531026
Acton Town,Bayswater,3,3745,615,9786.882979
Acton Town,Becontree,0,3745,456,32372.72453
Acton Town,Belsize Park,0,3745,2255,17213.40101
Acton Town,Bermondsey,6,3745,3172,16806.78269
Acton Town,Bethnal Green,2,3745,4660,18756.92926
Acton Town,Blackfriars,39,3745,10849,14337.84214
Acton Town,Blackhorse Road,0,3745,2955,24646.74686
Acton Town,Bond Street,27,3745,20967,12250.3543
Acton Town,Borough,1,3745,3254,15233.55001
Acton Town,Boston Manor,62,3745,892,3511.73665
Acton Town,Bounds Green,1,3745,778,24547.1501
Acton Town,Bow Road,1,3745,1193,20883.8018
Acton Town,Brixton,16,3745,5084,16094.56482
Acton Town,Bromley-by-Bow,2,3745,1613,21892.57171
Acton Town,Burnt Oak,0,3745,649,26884.7619
Acton Town,Caledonian Road,2,3745,1803,16618.3543
Acton Town,Camden Town,3,3745,6348,15181.52293
Acton Town,Canada Water,11,3745,20443,17796.29961
Acton Town,Canary Wharf,57,3745,58772,20398.16588
Acton Town,Canning Town,3,3745,15428,22942.35449
Acton Town,Cannon Street,18,3745,4698,15246.28514
Acton Town,Canons Park,0,3745,526,24459.58029
Acton Town,Chalfont & Latimer,0,3745,554,34069.93205
Acton Town,Chalk Farm,0,3745,1329,16175.30007
Acton Town,Chancery Lane,20,3745,15391,13817.71507
Acton Town,Charing Cross,5,3745,7016,12450.87652
Acton Town,Chiswick Park,20,3745,1517,1274.944807
Acton Town,Chorleywood,1,3745,702,30557.07875
Acton Town,Clapham Common,3,3745,2020,16102.88665
Acton Town,Clapham North,1,3745,1238,15460.12916
Acton Town,Clapham South,2,3745,1513,17355.20489
Acton Town,Cockfosters,0,3745,262,31090.16438
Acton Town,Colindale,0,3745,2081,25578.33985
Acton Town,Colliers Wood,0,3745,865,21858.38603
Acton Town,Covent Garden,44,3745,4355,12619.29078
Acton Town,Croxley,0,3745,340,26518.6567
Acton Town,Dagenham East,0,3745,649,35080.15309
Acton Town,Dagenham Heathway,0,3745,1108,33800.9253
Acton Town,Dollis Hill,0,3745,847,16674.68055
Acton Town,Ealing Broadway,107,3745,4846,2591.919912
Acton Town,Ealing Common,13,3745,915,1026.622829
Acton Town,Earl's Court,129,3745,6613,6775.329091
Acton Town,East Acton,2,3745,1505,7200.83617
Acton Town,East Finchley,0,3745,1253,21556.85114
Acton Town,East Ham,1,3745,2062,26655.97721
Acton Town,East Putney,13,3745,1877,11040.84643
Acton Town,Eastcote,2,3745,364,13360.87858
Acton Town,Edgware,1,3745,772,28402.89158
Acton Town,Edgware Road,12,3745,6868,11062.55523
Acton Town,Elephant & Castle,20,3745,6427,14533.58947
Acton Town,Embankment,16,3745,10220,12791.20734
Acton Town,Euston,14,3745,16800,13807.92412
Acton Town,Euston Square,3,3745,8093,13544.17526
Acton Town,Farringdon,19,3745,25592,16441.65237
Acton Town,Finchley Central,1,3745,1921,23927.40769
Acton Town,Finchley Road,0,3745,3417,13983.62615
Acton Town,Finsbury Park,7,3745,6769,18673.11357
Acton Town,Fulham Broadway,41,3745,4200,8285.48016
Acton Town,Gants Hill,0,3745,601,31147.86489
Acton Town,Gloucester Road,62,3745,5194,7685.450305
Acton Town,Golders Green,1,3745,1871,20777.13002
Acton Town,Goldhawk Road,0,3745,370,5382.288275
Acton Town,Goodge Street,14,3745,6457,13484.17222
Acton Town,Great Portland Street,10,3745,6936,12924.21504
Acton Town,Green Park,79,3745,26754,11101.44199
Acton Town,Greenford,2,3745,1157,12300.93054
Acton Town,Gunnersbury,0,3745,4775,3769.860221
Acton Town,Hammersmith,391,3745,18250,4376.69894
Acton Town,Hampstead,0,3745,2010,18391.40412
Acton Town,Harrow-on-the-Hill,6,3745,3019,14147.50533
Acton Town,Hatton Cross,62,3745,1219,12068.28735
Acton Town,Heathrow Terminal 4,10,3745,693,13944.62004
Acton Town,Heathrow Terminal 5,18,3745,975,16936.31677
Acton Town,Heathrow Terminals 2 & 3,44,3745,2406,14481.0383
Acton Town,Hendon Central,0,3745,1878,23425.82647
Acton Town,High Street Kensington,16,3745,5427,8076.189203
Acton Town,Highbury & Islington,4,3745,25385,17165.50695
Acton Town,Highgate,1,3745,856,19807.83048
Acton Town,Hillingdon,0,3745,318,18076.09579
Acton Town,Holborn,117,3745,22346,13252.23135
Acton Town,Holland Park,0,3745,2063,9736.568201
Acton Town,Holloway Road,7,3745,1696,17233.65175
Acton Town,Hounslow Central,42,3745,708,7785.729997
Acton Town,Hounslow East,55,3745,843,7040.045614
Acton Town,Hounslow West,20,3745,401,9264.813689
Acton Town,Hyde Park Corner,34,3745,2410,10321.55269
Acton Town,Ickenham,0,3745,282,16951.6586
Acton Town,Kennington,2,3745,1161,14724.37865
Acton Town,Kentish Town,1,3745,3404,16459.48857
Acton Town,Kew Gardens,4,3745,792,5550.14114
Acton Town,Kilburn,0,3745,1953,14243.51324
Acton Town,King's Cross St. Pancras,64,3745,33330,14583.65394
Acton Town,Kingsbury,0,3745,1018,21520.27771
Acton Town,Knightsbridge,64,3745,6821,9737.599103
Acton Town,Ladbroke Grove,9,3745,2131,7561.283263
Acton Town,Lambeth North,6,3745,1319,13537.86919
Acton Town,Lancaster Gate,1,3745,1820,10533.30729
Acton Town,Latimer Road,6,3745,1109,6901.702729
Acton Town,Leicester Square,52,3745,8847,12253.75948
Acton Town,Leyton,0,3745,1447,25178.44146
Acton Town,Leytonstone,0,3745,1844,26842.28502
Acton Town,Liverpool Street,55,3745,61122,16348.63726
Acton Town,London Bridge,39,3745,29930,14718.95615
Acton Town,Manor House,1,3745,1311,19789.2272
Acton Town,Mansion House,41,3745,7815,14998.10644
Acton Town,Marble Arch,1,3745,6145,11751.90947
Acton Town,Marylebone,1,3745,4250,11665.43857
Acton Town,Mile End,3,3745,3759,20258.86963
Acton Town,Mill Hill East,2,3745,681,25449.61013
Acton Town,Moorgate,14,3745,24574,16283.96404
Acton Town,Morden,0,3745,1447,24470.10048
Acton Town,Mornington Crescent,5,3745,2927,14591.31271
Acton Town,Newbury Park,0,3745,559,33505.62201
Acton Town,North Acton,3,3745,3168,6020.316854
Acton Town,North Ealing,20,3745,332,1951.031283
Acton Town,North Greenwich,13,3745,6276,22227.94917
Acton Town,Northfields,30,3745,864,2580.884505
Acton Town,Northolt,1,3745,663,14119.3968
Acton Town,Northwick Park,3,3745,1713,15450.63719
Acton Town,Northwood,2,3745,1018,21390.20694
Acton Town,Northwood Hills,1,3745,488,19803.53806
Acton Town,Notting Hill Gate,7,3745,5490,9036.834738
Acton Town,Oakwood,0,3745,423,29746.18603
Acton Town,Old Street,28,3745,15897,17137.48376
Acton Town,Osterley,22,3745,521,6072.550941
Acton Town,Oval,1,3745,2544,15639.53633
Acton Town,Oxford Circus,38,3745,44368,12112.00847
Acton Town,Paddington,31,3745,20198,10273.92395
Acton Town,Park Royal,39,3745,1552,3050.689734
Acton Town,Parsons Green,29,3745,2711,8987.818491
Acton Town,Perivale,1,3745,532,10704.49542
Acton Town,Piccadilly Circus,85,3745,13641,11879.06808
Acton Town,Pimlico,10,3745,5585,12175.64332
Acton Town,Pinner,0,3745,292,17644.88947
Acton Town,Plaistow,2,3745,1049,24034.65274
Acton Town,Preston Road,0,3745,411,17183.77099
Acton Town,Putney Bridge,21,3745,2494,9982.28084
Acton Town,Queensbury,0,3745,439,22766.27295
Acton Town,Ravenscourt Park,43,3745,1895,3542.120988
Acton Town,Rayners Lane,4,3745,426,11541.52421
Acton Town,Redbridge,0,3745,198,29690.12112
Acton Town,Regent's Park,10,3745,3364,12892.93564
Acton Town,Richmond,33,3745,5397,7718.304404
Acton Town,Rickmansworth,0,3745,937,27005.72551
Acton Town,Royal Oak,9,3745,856,9336.627437
Acton Town,Ruislip,1,3745,257,15166.00362
Acton Town,Ruislip Manor,0,3745,408,14487.11764
Acton Town,Russell Square,44,3745,5172,13958.66567
Acton Town,Seven Sisters,6,3745,10191,22079.00196
Acton Town,Shepherd's Bush,0,3745,9890,9320.750406
Acton Town,Shepherd's Bush Market,1,3745,416,5821.577698
Acton Town,Sloane Square,34,3745,8229,9610.006156
Acton Town,South Ealing,21,3745,670,2127.939214
Acton Town,South Harrow,12,3745,387,9735.9675
Acton Town,South Kensington,131,3745,15325,8436.783785
Acton Town,South Ruislip,0,3745,289,16443.38732
Acton Town,South Woodford,0,3745,766,29816.25637
Acton Town,Southfields,15,3745,1351,12671.73453
Acton Town,Southgate,1,3745,874,27880.54118
Acton Town,Southwark,32,3745,10326,13620.60706
Acton Town,St. James's Park,64,3745,13339,11553.07077
Acton Town,St. John's Wood,2,3745,3982,14236.32569
Acton Town,St. Paul's,27,3745,13446,14912.86626
Acton Town,Stamford Brook,13,3745,784,2832.831434
Acton Town,Stepney Green,2,3745,1879,19229.59726
Acton Town,Stockwell,2,3745,1623,14507.82728
Acton Town,Stratford,10,3745,55954,23047.09853
Acton Town,Sudbury Hill,15,3745,277,8250.501841
Acton Town,Sudbury Town,13,3745,218,6633.445226
Acton Town,Swiss Cottage,3,3745,2598,14628.9789
Acton Town,Temple,15,3745,6780,13585.80134
Acton Town,Tooting Bec,1,3745,1239,19503.00491
Acton Town,Tooting Broadway,3,3745,4506,20577.96635
Acton Town,Tottenham Court Road,10,3745,19126,12839.69985
Acton Town,Tottenham Hale,4,3745,3239,23232.54113
Acton Town,Totteridge & Whetstone,1,3745,287,27587.77468
Acton Town,Tower Hill,28,3745,8286,16346.86502
Acton Town,Tufnell Park,1,3745,557,17224.08958
Acton Town,Turnham Green,20,3745,1515,2222.542223
